40
3612.5386
8.171248 0.000000 0.000000
0.000000 8.094504 0.000000
0.000000 0.000000 8.093520
Ba 0.006781 -0.000117 -0.004381
Ba 0.006781 -0.000117 0.504381
Ba 0.006781 0.500117 -0.004381
Ba 0.006781 0.500117 0.504381
Ba 0.506781 0.000116 -0.004386
Ba 0.506781 0.000116 0.504386
Ba 0.506781 0.499884 -0.004386
Ba 0.506781 0.499884 0.504386
Ti 0.267661 0.250000 0.750000
Ti 0.255080 0.750000 0.250000
Ti 0.267218 0.750000 0.750000
Ti 0.755077 0.250000 0.250000
Ti 0.767222 0.250000 0.750000
Ti 0.767669 0.750000 0.750000
O 0.250242 0.250000 -0.009066
O 0.250242 0.250000 0.509066
O 0.252251 0.750000 -0.002616
O 0.252251 0.750000 0.502615
O 0.752253 0.250000 -0.002617
O 0.752253 0.250000 0.502618
O 0.750245 0.750000 -0.009066
O 0.750245 0.750000 0.509066
O 0.253196 -0.007941 0.250000
O 0.251216 -0.000159 0.750000
O 0.253196 0.507941 0.250000
O 0.251216 0.500159 0.750000
O 0.753194 0.007941 0.250000
O 0.751223 0.000159 0.750000
O 0.753194 0.492059 0.250000
O 0.751223 0.499841 0.750000
O -0.004688 0.250000 0.250000
O -0.006064 0.250000 0.750000
O 0.010460 0.750000 0.250000
O -0.005269 0.750000 0.750000
O 0.510461 0.250000 0.250000
O 0.494729 0.250000 0.750000
O 0.495313 0.750000 0.250000
O 0.493930 0.750000 0.750000
Zr 0.254656 0.250000 0.250000
Zr 0.754656 0.750000 0.250000
